name,proc_id,njss_url,address,categories,open_count,total_count,result_count
名西消防組合,8656,https://www2.njss.info/organizations/proc/8656,徳島県,地方公共団体|市役所関連団体,0,14,12
御殿場市・小山町広域行政組合,8660,https://www2.njss.info/organizations/proc/8660,静岡県,地方公共団体|市役所関連団体,0,111,110
志太広域事務組合,8662,https://www2.njss.info/organizations/proc/8662,静岡県,地方公共団体|市役所関連団体,0,83,79
鳥取県東部広域行政管理組合,8664,https://www2.njss.info/organizations/proc/8664,鳥取県,地方公共団体|市役所関連団体,0,78,64
玄界環境組合,8666,https://www2.njss.info/organizations/proc/8666,福岡県,地方公共団体|市役所関連団体,0,238,225
筑慈苑施設組合,8668,https://www2.njss.info/organizations/proc/8668,福岡県,地方公共団体|市役所関連団体,0,51,51
有明広域行政事務組合,8670,https://www2.njss.info/organizations/proc/8670,熊本県,地方公共団体|市役所関連団体,0,23,15
青森県交通災害共済組合,8672,https://www2.njss.info/organizations/proc/8672,青森県,地方公共団体|市役所関連団体,0,0,0
福島県後期高齢者医療広域連合,8674,https://www2.njss.info/organizations/proc/8674,福島県,地方公共団体|市役所関連団体,0,46,40
奈良県後期高齢者医療広域連合,8676,https://www2.njss.info/organizations/proc/8676,奈良県,地方公共団体|市役所関連団体,0,58,41
熊本県後期高齢者医療広域連合,8678,https://www2.njss.info/organizations/proc/8678,熊本県,地方公共団体|市役所関連団体,0,58,47
長野広域連合,8680,https://www2.njss.info/organizations/proc/8680,長野県,地方公共団体|市役所関連団体,0,24,20
北部衛生施設組合,8686,https://www2.njss.info/organizations/proc/8686,長野県,地方公共団体|市役所関連団体,0,2,2
岐阜羽島衛生施設組合,8688,https://www2.njss.info/organizations/proc/8688,岐阜県,地方公共団体|市役所関連団体,0,11,7
知多南部衛生組合,8690,https://www2.njss.info/organizations/proc/8690,愛知県,地方公共団体|市役所関連団体,0,8,6
松阪地区広域消防組合,8692,https://www2.njss.info/organizations/proc/8692,三重県,地方公共団体|市役所関連団体,0,0,0
守山野洲行政事務組合,8694,https://www2.njss.info/organizations/proc/8694,滋賀県,地方公共団体|市役所関連団体,0,0,0
氷上多可衛生事務組合,8696,https://www2.njss.info/organizations/proc/8696,兵庫県,地方公共団体|市役所関連団体,0,0,0
可茂消防事務組合,8700,https://www2.njss.info/organizations/proc/8700,岐阜県,地方公共団体|市役所関連団体,0,7,1
尾張北部環境組合,8704,https://www2.njss.info/organizations/proc/8704,愛知県,地方公共団体|市役所関連団体,0,18,18
雲南市・飯南町事務組合,8706,https://www2.njss.info/organizations/proc/8706,島根県,地方公共団体|市役所関連団体,0,35,22
中部知多衛生組合,8708,https://www2.njss.info/organizations/proc/8708,愛知県,地方公共団体|市役所関連団体,0,2,2
北名古屋衛生組合,8712,https://www2.njss.info/organizations/proc/8712,愛知県,地方公共団体|市役所関連団体,0,2,1
中播衛生施設事務組合,8714,https://www2.njss.info/organizations/proc/8714,兵庫県,地方公共団体|市役所関連団体,0,77,77
香芝・王寺環境施設組合,8718,https://www2.njss.info/organizations/proc/8718,奈良県,地方公共団体|市役所関連団体,0,14,12
やまと広域環境衛生事務組合,8720,https://www2.njss.info/organizations/proc/8720,奈良県,地方公共団体|市役所関連団体,0,31,31
紀南環境広域施設組合,8722,https://www2.njss.info/organizations/proc/8722,和歌山県,地方公共団体|市役所関連団体,0,7,6
江津邑智消防組合,8724,https://www2.njss.info/organizations/proc/8724,島根県,地方公共団体|市役所関連団体,0,2,1
東備消防組合,8726,https://www2.njss.info/organizations/proc/8726,岡山県,地方公共団体|市役所関連団体,0,0,0
海部郡衛生処理事務組合,8728,https://www2.njss.info/organizations/proc/8728,徳島県,地方公共団体|市役所関連団体,0,18,17
津山圏域消防組合,8730,https://www2.njss.info/organizations/proc/8730,岡山県,地方公共団体|市役所関連団体,0,25,21
芸北広域環境施設組合,8732,https://www2.njss.info/organizations/proc/8732,広島県,地方公共団体|市役所関連団体,0,0,0
周南東部環境施設組合,8734,https://www2.njss.info/organizations/proc/8734,山口県,地方公共団体|市役所関連団体,0,15,15
美馬環境整備組合,8736,https://www2.njss.info/organizations/proc/8736,徳島県,地方公共団体|市役所関連団体,0,2,2
板野東部消防組合,8738,https://www2.njss.info/organizations/proc/8738,徳島県,地方公共団体|市役所関連団体,0,0,0
